Ad Daqahliyah	258	46
Al Bahr al Ahmar	314	172
Al Buhayrah	221	62
Al Fayyum	232	105
Al Gharbiyah	247	53
Al Iskandariyah	207	54
Al Isma`iliyah	290	63
Al Jizah	191	125
Al Minufiyah	244	65
Al Minya	227	144
Al Qahirah	264	102
Al Qalyubiyah	252	72
Al Uqsur	296	230
Al Wadi al Jadid	152	218
As Suways	282	90
Ash Sharqiyah	264	60
Aswan	306	254
Asyut	262	171
Bani Suwayf	250	119
Bur Sa`id	287	45
Dumyat	268	34
Janub Sina'	329	117
Kafr ash Shaykh	242	38
Matrouh	122	72
Qina	308	217
Shamal Sina'	326	68
Suhaj	278	196
